data,Casos_Publicacao_Min,Casos_Publicacao_Max
2021-08-12,281.23415241298056,319.65847679903914
2021-08-13,278.162342002712,325.01841502617907
2021-08-14,279.04879033784204,318.8163591430282
2021-08-15,278.9334942081383,319.6243410215312
2021-08-16,276.8089678458283,312.8796777804921
2021-08-17,268.66806652439806,305.4015273873621
2021-08-18,255.34516185933012,285.953617678896
2021-08-19,251.49032697869671,284.87686149922723
2021-08-20,241.14210347820472,279.9406610014878
2021-08-21,234.60076810316846,272.2349915273109
2021-08-22,231.50159646525975,270.34939242744014
2021-08-23,231.7743433054616,273.6663902555464
2021-08-24,239.0884588923152,265.9279146508962
2021-08-25,232.6099313792678,277.17457588473104
2021-08-26,233.31953229408361,270.2755354956692
2021-08-27,233.80586547173698,271.5727058297426
2021-08-28,234.20036895003224,272.1669598822999
2021-08-29,243.31776154483822,278.6713067782629
2021-08-30,243.39744834982642,287.1163612791295
2021-08-31,239.67464198883692,276.580109724118
2021-09-01,234.3700640538303,268.4911046535321
2021-09-02,238.5902800476301,274.9557452965245
2021-09-03,235.80806429653387,271.1439578791347
2021-09-04,237.36218408619294,265.19647068777374
2021-09-05,227.8490297303193,269.1877720086671
2021-09-06,233.84807562462555,263.5418182800257
2021-09-07,223.0484321634791,259.5434704135532
2021-09-08,206.37457557458856,243.66455406644582
2021-09-09,213.14742293292457,247.6907437872441
2021-09-10,211.80546597304098,239.59347460913216
2021-09-11,213.2646585019146,249.15583186047743
2021-09-12,207.9618214424469,240.3354654129101
2021-09-13,202.01284406296332,231.83156174870425
2021-09-14,192.75398082013444,226.34602025289382
2021-09-15,187.40531224623155,216.13455771793232
2021-09-16,178.14875171932334,221.4678422951492
2021-09-17,184.92923351234433,216.52176109118543
2021-09-18,181.75378007499745,209.3261351280003
2021-09-19,186.08035303296995,215.23298788439166
2021-09-20,184.33967161005612,219.32488028605545
2021-09-21,181.05670075525288,218.538200069744
2021-09-22,185.36659785319523,222.1087829282525
2021-09-23,191.9279481039795,221.73789248552922
2021-09-24,190.09809562820615,223.85172445653464
2021-09-25,194.53578712246528,226.87364357783392
2021-09-26,188.723133578585,225.02577742960688
2021-09-27,189.51793990195475,226.01222119880705
2021-09-28,182.86189468766634,220.19026117195813
2021-09-29,179.79136406738857,218.61917693855207
2021-09-30,185.73054437993085,219.48328363563851
2021-10-01,189.98402997986878,221.4001289576869
2021-10-02,198.4948690520363,224.1776115671317
2021-10-03,199.01523881638352,229.88869507914177
2021-10-04,192.46936408502697,223.9925614733971
2021-10-05,193.0961768220167,223.78693475098228
2021-10-06,188.33667761258022,221.86473755820992
2021-10-07,188.09040362429795,219.36044570098588
2021-10-08,191.33519006876452,219.81985235497936
2021-10-09,179.4299080922747,219.01722130836066
2021-10-10,187.00879142033736,218.73070912993924
2021-10-11,182.28451546837027,216.05088963433818
2021-10-12,177.87887196025196,206.17410719718407
2021-10-13,182.5563064107029,220.57559310384153
2021-10-14,191.95454624539053,214.78763679675936
2021-10-15,191.5726720501899,227.07991278175314
2021-10-16,194.47772792971043,232.12588684935784
2021-10-17,192.71748502409685,224.6924333347462
2021-10-18,191.23767753513985,218.54085607395137
2021-10-19,176.2621562682879,223.44849410062236
2021-10-20,184.52952187146866,211.2245271315199
2021-10-21,182.37793027797665,215.41820469453413
2021-10-22,184.98285663064078,220.11670172799555
2021-10-23,186.21863910109445,222.94194144383337
2021-10-24,192.561331328914,227.70252128483173
2021-10-25,191.46160843650597,228.8640849601116
2021-10-26,198.0964739268824,230.84875608816293
2021-10-27,204.01340066144857,236.37784888086708
2021-10-28,202.78288364472013,241.10139181141142
2021-10-29,203.17761805312452,242.84873731794832
2021-10-30,205.27806654343576,241.51300869574527
2021-10-31,208.81790217056462,235.7656191399685
2021-11-01,201.7229467156547,236.34576732919695
2021-11-02,192.95431962801817,235.7439425120159
2021-11-03,197.97831811745684,230.0100276395611
2021-11-04,197.37849458465257,234.8929848260446
2021-11-05,189.4807551119793,228.75272180933223
2021-11-06,191.90399034258704,229.3389987896916
2021-11-07,199.7845673037909,234.41726407568106
2021-11-08,190.02104070199815,230.28454613534828
2021-11-09,182.94656061109114,222.19667271436083
2021-11-10,184.30411776703988,217.04932213839973
2021-11-11,190.41935280595513,229.6162649412111
2021-11-12,203.27206227322404,237.51940785940863
2021-11-13,210.846668873641,252.37358258127225
2021-11-14,207.00793506233342,245.42840831385976
2021-11-15,209.3227883559121,246.09609828466446
2021-11-16,221.972884912003,252.0066862007697
2021-11-17,227.48252058017874,261.18731525011435
2021-11-18,238.07771254587962,263.5632518735897
2021-11-19,228.1085108535769,278.06017705155995
2021-11-20,240.90884225289133,274.3190335198483
2021-11-21,251.0771652462612,291.32061218095373
2021-11-22,239.60756609125053,275.9064239192939
2021-11-23,242.5200788545482,288.3240003292654
2021-11-24,238.30834336455052,281.6071350962744
2021-11-25,258.4429271566779,301.5878364317265
2021-11-26,275.01472996688705,311.4803220028601
2021-11-27,289.5444341238527,329.95525061335445
2021-11-28,293.90834394383086,339.7951819976563
2021-11-29,341.051680687652,377.76530586338566
2021-11-30,358.0129928584374,391.7777047078857
2021-12-01,376.7276346336928,411.1000490478535
2021-12-02,398.715170042229,444.12734843647934
2021-12-03,415.73148937764927,452.52284845493426
2021-12-04,411.75565477439636,464.221052145824
2021-12-05,422.6643195715166,460.5062763124124
2021-12-06,441.9855975782183,482.2545690070528
2021-12-07,448.3329331993838,476.4296004399979
2021-12-08,436.46947811853755,474.3464101669347
2021-12-09,447.43779248833545,483.4775287144307
2021-12-10,438.1499690608917,486.18861338929037
2021-12-11,434.7662243238137,476.4057525915926
2021-12-12,429.4837789346183,475.3149596235444
2021-12-13,467.48586711300516,504.07402960074563
2021-12-14,465.3359051014036,496.95393891366615
2021-12-15,458.06650301247004,491.486834739623
2021-12-16,457.3193103716721,503.0061675797853
2021-12-17,467.88696234163086,505.4161361116803
2021-12-18,469.39807299456066,525.5321575837919
2021-12-19,465.51472434919526,501.88535726412204
2021-12-20,478.41209489651044,521.9109386109731
2021-12-21,479.2178056649215,518.4471521776538
2021-12-22,471.68501213018277,513.7934520185729
2021-12-23,471.08740025360584,511.73937829474096
2021-12-24,467.3651003413262,505.780603827287
2021-12-25,467.2593927808119,503.84410992082917
2021-12-26,454.72962171534334,505.81427859737295
2021-12-27,465.6994625820342,503.0248848477396
2021-12-28,445.4997093783948,483.1093859031188
2021-12-29,428.24742314153866,471.2236504529194
2021-12-30,419.8800647029767,452.3740834893243
2021-12-31,396.0938228330965,433.2854317181277
2022-01-01,381.4110124390618,418.0703249638612
2022-01-02,378.5917581783757,406.2737796633388
2022-01-03,364.392794859808,411.50829023995084
2022-01-04,344.03698264741047,383.3581861325762
2022-01-05,333.5006015189893,364.9149683944868
2022-01-06,320.7436825887606,362.1535961652913
2022-01-07,315.1089596958136,352.8198357108842
2022-01-08,376.52775845433644,412.0193162789561
2022-01-09,374.49060304315555,408.49303235718844
2022-01-10,397.2009085129144,446.95040316780097
2022-01-11,398.38451356909997,432.71884388805677
2022-01-12,410.7830906901498,450.4502539441937
2022-01-13,416.98852403296667,459.542880319177
2022-01-14,440.6070186425677,489.18706916239734
2022-01-15,458.94840009636704,510.3440351245059
2022-01-16,460.62840148263837,505.18080251997975
2022-01-17,505.67429545052437,574.5834915629514
2022-01-18,508.4068130752736,581.8211124251095
2022-01-19,497.8238523528783,586.0724113474557
2022-01-20,482.3193302650729,576.91445962769
