data,Casos_Publicacao_MM_atual_PA
2021-04-06,2047.199834333877
2021-04-07,2049.1075912774795
2021-04-08,2042.0942251040383
2021-04-09,2056.9871017962105
2021-04-10,2029.1913420732853
2021-04-11,2006.774155347264
2021-04-12,2009.4663233078384
2021-04-13,1990.6799159229665
2021-04-14,1981.3878987694334
2021-04-15,1949.303744162053
2021-04-16,1936.2985411268953
2021-04-17,1937.6783676531359
2021-04-18,1931.2786902480084
2021-04-19,1926.6042586498977
2021-04-20,1912.6529728640344
2021-04-21,1893.1270792723185
2021-04-22,1876.1448987674012
2021-04-23,1849.470276052928
2021-04-24,1828.3339114335288
2021-04-25,1790.3423061229873
2021-04-26,1761.0631113163004
2021-04-27,1743.1607086237245
2021-04-28,1725.4858723009397
2021-04-29,1701.427188974341
2021-04-30,1682.7884230467205
2021-05-01,1648.8823570309544
2021-05-02,1624.8481360755852
2021-05-03,1615.1020955182103
2021-05-04,1567.9321917133739
2021-05-05,1551.2748602108413
2021-05-06,1532.0477609590375
2021-05-07,1509.7414987931925
2021-05-08,1502.1455997802504
2021-05-09,1480.0557178551442
2021-05-10,1488.6092479987094
2021-05-11,1479.1455216905858
2021-05-12,1470.2464208343222
2021-05-13,1452.7605397651096
2021-05-14,1440.306215291971
2021-05-15,1408.1239610941839
2021-05-16,1386.0979605494942
2021-05-17,1390.3529658159564
2021-05-18,1391.4548450867815
2021-05-19,1388.2805299633399
2021-05-20,1379.8097716979692
2021-05-21,1383.4162362792395
2021-05-22,1388.9433384861234
2021-05-23,1394.5349881585719
2021-05-24,1387.3866370680853
2021-05-25,1386.7696029821902
2021-05-26,1386.2533697744022
2021-05-27,1384.3972192307801
2021-05-28,1378.686552116707
2021-05-29,1366.1272595050398
2021-05-30,1341.7001529416104
2021-05-31,1347.0216734567873
2021-06-01,1336.3391240100611
2021-06-02,1324.8571319973441
2021-06-03,1302.9264075042774
2021-06-04,1281.8453483059327
2021-06-05,1256.1619725234623
2021-06-06,1236.005151222814
2021-06-07,1231.2602752731714
2021-06-08,1223.8245435990264
2021-06-09,1217.22678769864
2021-06-10,1197.4483533443633
2021-06-11,1173.1112894661253
2021-06-12,1151.0049489352612
2021-06-13,1140.2655088012643
2021-06-14,1142.6938839171012
2021-06-15,1133.1323614864098
2021-06-16,1123.1788110931689
2021-06-17,1130.3441913774466
2021-06-18,1129.2926474534486
2021-06-19,1118.575487779984
2021-06-20,1098.3263181310713
2021-06-21,1089.7645375072307
2021-06-22,1074.0674019286419
2021-06-23,1053.091414577755
2021-06-24,1032.8757296719214
2021-06-25,1010.615938520652
2021-06-26,993.8056371518513
2021-06-27,983.3223775185937
2021-06-28,990.0476839365263
2021-06-29,981.1262061730063
2021-06-30,971.6979094025216
2021-07-01,948.3104664774874
2021-07-02,932.6997709757957
2021-07-03,915.0691279506282
2021-07-04,889.4643183725893
2021-07-05,878.1804598134746
2021-07-06,865.7485042231519
2021-07-07,859.9428932453519
2021-07-08,860.3192804647348
2021-07-09,854.7913975190578
2021-07-10,843.9302647845104
2021-07-11,832.3043839944098
2021-07-12,820.9749407589817
2021-07-13,802.7394538004507
2021-07-14,785.5655998955701
2021-07-15,752.9808513271903
2021-07-16,726.6798542295028
2021-07-17,712.000816639455
2021-07-18,695.8541570591738
2021-07-19,677.1478430525356
2021-07-20,658.3769046651269
2021-07-21,636.9608783676201
2021-07-22,618.2316480015667
2021-07-23,597.1325269769737
2021-07-24,573.316035426809
2021-07-25,554.8057036759348
2021-07-26,551.3477093784483
2021-07-27,545.9575213108416
2021-07-28,531.0969369372423
2021-07-29,510.8190270887059
2021-07-30,488.1219552008003
2021-07-31,468.4239781938359
2021-08-01,453.7957818253747
2021-08-02,439.997174038796
2021-08-03,429.8038278182333
2021-08-04,424.30364965776386
2021-08-05,421.0760235022855
2021-08-06,412.85020557730473
2021-08-07,400.7244173255843
2021-08-08,393.37217003820393
2021-08-09,383.87382086328233
2021-08-10,378.0621502580034
2021-08-11,368.76541295131983
2021-08-12,361.14948706820655
2021-08-13,355.83331184275943
2021-08-14,348.558182919733
2021-08-15,340.98907997877564
2021-08-16,335.4053502476637
2021-08-17,328.8868959783967
2021-08-18,319.46388144784186
2021-08-19,310.6700124940433
2021-08-20,300.0394426297212
2021-08-21,294.3091717301885
2021-08-22,287.2231884686831
2021-08-23,282.5710858441579
2021-08-24,282.40171750373884
2021-08-25,286.9162716791225
2021-08-26,289.07001304807454
2021-08-27,293.9613836032511
2021-08-28,296.2097733791771
2021-08-29,297.09210662779134
2021-08-30,292.636012156542
2021-08-31,294.8113420567576
2021-09-01,293.67812794864034
2021-09-02,293.7265142712269
2021-09-03,283.24361056200763
2021-09-04,278.91454907122267
2021-09-05,273.6733804380256
2021-09-06,266.204988768145
2021-09-07,263.2619530836874
2021-09-08,262.2994743225148
2021-09-09,259.026324202535
2021-09-10,254.55301345503597
2021-09-11,251.58258304505088
2021-09-12,247.1622083178403
2021-09-13,241.43587041018756
2021-09-14,230.32802591492253
2021-09-15,219.83135937062494
2021-09-16,217.89506787021526
2021-09-17,212.3831421338496
2021-09-18,209.99386211998666
2021-09-19,207.447474760567
2021-09-20,208.02064321886428
2021-09-21,213.24949943369808
2021-09-22,216.97199855116418
2021-09-23,221.24729184973862
2021-09-24,219.59762469542463
2021-09-25,214.04296374954802
2021-09-26,215.15726059399196
2021-09-27,212.90404196990906
2021-09-28,217.54943343776517
2021-09-29,217.33268708740525
2021-09-30,216.87472472853938
2021-10-01,218.91289721655116
2021-10-02,219.72723507147552
2021-10-03,221.92796985775405
2021-10-04,216.95179736420113
2021-10-05,215.73917650176458
2021-10-06,216.83379174745593
2021-10-07,217.08887903774195
2021-10-08,220.00643106099844
2021-10-09,221.04769606874657
2021-10-10,219.79022491211288
2021-10-11,217.73378400239798
2021-10-12,219.5773668464258
2021-10-13,223.51689228999882
2021-10-14,222.8595477415605
2021-10-15,223.7459862341205
2021-10-16,226.0508769460736
2021-10-17,225.968913235294
2021-10-18,221.09949136413806
2021-10-19,214.87114466996715
2021-10-20,214.46275052850007
2021-10-21,216.3414661033667
2021-10-22,221.4287607205081
2021-10-23,227.88139280624569
2021-10-24,228.52742356398366
2021-10-25,231.46019097431198
2021-10-26,239.58388820479323
2021-10-27,250.43933584114188
2021-10-28,257.4145085651061
2021-10-29,257.0783377590077
2021-10-30,257.81965031118375
2021-10-31,256.3168195703315
2021-11-01,253.51613237576936
2021-11-02,251.26270826125173
2021-11-03,251.2133610116637
2021-11-04,248.04418652568793
2021-11-05,245.9691706591002
2021-11-06,245.97630201644046
2021-11-07,244.68095949964234
2021-11-08,237.8140479144088
2021-11-09,236.23260086468287
2021-11-10,236.22216676266964
2021-11-11,241.28641499424864
2021-11-12,248.95857267367023
2021-11-13,256.64989506764977
2021-11-14,267.3158403025188
2021-11-15,263.43486519542694
2021-11-16,273.52137399342786
2021-11-17,282.51528534558946
2021-11-18,289.2850815842764
2021-11-19,294.35482267071296
2021-11-20,299.39928381053005
2021-11-21,304.56202665024796
2021-11-22,304.52365362730814
2021-11-23,309.8646200495162
2021-11-24,315.77053043100886
2021-11-25,329.4102254431829
2021-11-26,342.1509505139232
2021-11-27,359.2903442786971
2021-11-28,369.9005168995284
2021-11-29,383.86428638971626
2021-11-30,402.7831820585943
2021-12-01,419.2148950869916
2021-12-02,432.96174813215686
2021-12-03,442.146935615784
2021-12-04,438.823192787387
2021-12-05,443.46148150063664
2021-12-06,445.82270243812167
2021-12-07,452.3790575905123
2021-12-08,466.6359102919682
2021-12-09,475.0613896925066
2021-12-10,485.98912082036367
2021-12-11,495.1156190108458
2021-12-12,499.333430744773
2021-12-13,500.0003666334838
2021-12-14,507.5911271037194
2021-12-15,511.6729329874542
2021-12-16,515.587886837654
2021-12-17,532.6847010441711
2021-12-18,541.535427913336
2021-12-19,545.5921677801927
2021-12-20,545.1002243948305
2021-12-21,551.4224058682073
2021-12-22,557.7136499183187
2021-12-23,559.8322939716668
2021-12-24,546.9159963549222
2021-12-25,545.356682065732
2021-12-26,540.3111405281829
2021-12-27,528.7784156778634
2021-12-28,524.2119482668468
2021-12-29,517.1553782956
2021-12-30,513.1640513683353
2021-12-31,502.66982184761923
2022-01-01,490.116998125041
2022-01-02,483.3071624140752
2022-01-03,460.8269684768538
2022-01-04,448.9201384749227
2022-01-05,431.18695078926993
2022-01-06,417.1950602892536
2022-01-07,403.89878376464816
2022-01-08,409.467327793899
2022-01-09,421.0152315436253
2022-01-10,439.20525952872515
2022-01-11,460.51956860003247
2022-01-12,488.4690492349853
2022-01-13,513.6047825163474
2022-01-14,542.5470758570888
2022-01-15,548.743479139984
2022-01-16,553.331688822449
2022-01-17,600.9541357793811
2022-01-18,645.4738170607613
2022-01-19,688.1796293119913
2022-01-20,732.0077706294719
2022-01-21,785.6824218811565
2022-01-22,836.9706345778742
2022-01-23,847.384586326289
2022-01-24,848.5497154675605
2022-01-25,831.188549046551
2022-01-26,824.2910194711407
2022-01-27,806.3469719727482
2022-01-28,804.4728562383558
2022-01-29,822.4325708624134
2022-01-30,848.5150772993047
2022-01-31,915.0989868838363
2022-02-01,1029.1286941854817
2022-02-02,1268.5545996836543
2022-02-03,1624.9759351913413
2022-02-04,1971.3559527370228
2022-02-05,2139.598472027001
2022-02-06,2255.2875075378774
2022-02-07,2268.809641156344
2022-02-08,2326.2529249206264
2022-02-09,2398.369349004249
2022-02-10,2361.026862303321
2022-02-11,2351.863263726375
2022-02-12,2311.731285129808
2022-02-13,2316.628389477873
2022-02-14,2291.424228043886
2022-02-15,2275.662936652821
2022-02-16,2250.2461356837866
2022-02-17,2255.993689152264
2022-02-18,2224.3053381534787
2022-02-19,2193.154762761335
2022-02-20,2141.9081618205787
2022-02-21,2141.151938413952
2022-02-22,2112.830964814659
2022-02-23,2102.7671756778855
2022-02-24,2078.8127985064853
2022-02-25,2039.0456244476075
2022-02-26,2039.3403621503574
2022-02-27,1998.3095783198564
2022-02-28,1986.5835647074762
2022-03-01,1971.2660695600268
2022-03-02,1947.6666263038906
2022-03-03,1900.410493572209
2022-03-04,1861.3341646520817
2022-03-05,1840.965185039431
2022-03-06,1784.8646394380633
2022-03-07,1748.1404011198429
2022-03-08,1692.658838025205
2022-03-09,1635.1264464857306
2022-03-10,1582.8845342542522
2022-03-11,1530.0167261069264
2022-03-12,1476.0058994603003
2022-03-13,1428.0642653838163
2022-03-14,1373.3692428899035
2022-03-15,1343.9055751080762
2022-03-16,1312.7431500227237
2022-03-17,1279.7567804671337
2022-03-18,1253.3821615533868
2022-03-19,1220.1674507524021
2022-03-20,1183.8594281712853
2022-03-21,1138.7261890846428
2022-03-22,1096.7110213620888
2022-03-23,1053.9272105809237
2022-03-24,1015.9577542375494
2022-03-25,976.0055125141705
2022-03-26,943.6295227107123
2022-03-27,905.4223517040829
2022-03-28,859.7407823544595
2022-03-29,815.8040962454324
2022-03-30,774.9765988687604
2022-03-31,740.3957814588656
2022-04-01,709.1701644239242
2022-04-02,674.3280347714212
2022-04-03,648.1235256916019
2022-04-04,614.9343771985901
2022-04-05,592.1350799229273
2022-04-06,571.6218212175498
2022-04-07,557.6233772901447
2022-04-08,543.6171642926906
2022-04-09,528.9993393044842
2022-04-10,517.4398794795436
2022-04-11,503.4094470793255
2022-04-12,483.98497182195035
2022-04-13,467.1275343068375
2022-04-14,443.36007328319096
2022-04-15,418.2081266105788
2022-04-16,399.6313128826414
2022-04-17,382.39422037478346
2022-04-18,361.33283981923415
2022-04-19,345.47353852368235
2022-04-20,333.36696033357754
2022-04-21,321.4712218568236
2022-04-22,308.6138392002249
2022-04-23,291.77557785714475
2022-04-24,278.6598074158955
2022-04-25,266.5956191509488
2022-04-26,255.7073664170206
2022-04-27,253.96878550661182
2022-04-28,250.82704032580372
2022-04-29,246.5103606026904
2022-04-30,243.7374019337551
2022-05-01,243.28696407694136
2022-05-02,240.09928027592156
2022-05-03,239.73669115627422
2022-05-04,239.4851469657433
2022-05-05,240.58810798549675
2022-05-06,238.16075513591696
2022-05-07,237.22231134536807
2022-05-08,236.15147149693934
2022-05-09,231.05198880215448
2022-05-10,231.59073960558734
2022-05-11,231.2242255243808
2022-05-12,234.600661054329
2022-05-13,236.3904231338705
2022-05-14,236.02062192860132
2022-05-15,234.9476799352589
2022-05-16,233.5214786343056
2022-05-17,233.02540590937755
2022-05-18,231.92052636726626
2022-05-19,231.00573879434023
2022-05-20,228.29173358562568
2022-05-21,226.92026614063892
2022-05-22,226.6266553852866
2022-05-23,224.61947211744544
2022-05-24,226.55926712578278
2022-05-25,230.20970124456758
2022-05-26,233.7352440215127
2022-05-27,236.559997735281
2022-05-28,236.43471884268212
2022-05-29,234.70816643342746
2022-05-30,233.13629553634854
2022-05-31,230.59745556408984
2022-06-01,230.40119357005915
2022-06-02,228.4310021959455
2022-06-03,226.62473324277587
2022-06-04,220.93184397454345
2022-06-05,219.60671376185093
2022-06-06,213.03241917353037
2022-06-07,208.89542588174916
2022-06-08,205.0789739769959
2022-06-09,200.95283638078806
2022-06-10,200.6518774140246
2022-06-11,204.28544039470378
2022-06-12,203.31048056544512
2022-06-13,203.9679794280421
2022-06-14,208.5857821722496
2022-06-15,212.44044249903106
2022-06-16,212.52084589703287
2022-06-17,215.0634171853387
2022-06-18,217.6724574641826
2022-06-19,217.09368317536604
2022-06-20,214.01950272376132
2022-06-21,217.50599576436548
2022-06-22,217.1407640020492
2022-06-23,219.93691982409368
2022-06-24,219.07372594030053
2022-06-25,221.83102743180655
2022-06-26,222.49019723463022
2022-06-27,225.27124070854973
2022-06-28,233.97695737923743
2022-06-29,241.23594092890372
2022-06-30,256.04036106825197
2022-07-01,276.22700238154994
2022-07-02,299.74805471572455
2022-07-03,321.9052095614462
2022-07-04,351.81188575284847
2022-07-05,389.4902129585061
2022-07-06,425.8431002028887
2022-07-07,463.2939250170133
2022-07-08,510.66967307054233
2022-07-09,552.1615810079697
2022-07-10,591.834338645211
2022-07-11,649.7664188913609
2022-07-12,707.7439118008668
2022-07-13,756.3508471157377
2022-07-14,797.2649007817123
2022-07-15,814.9696259964327
2022-07-16,843.3509973014551
2022-07-17,886.188653391515
2022-07-18,922.6939863465856
2022-07-19,938.4189991543344
2022-07-20,950.5256277204842
2022-07-21,959.8095577653671
2022-07-22,984.2468918381469
2022-07-23,1012.1290489892037
2022-07-24,1027.347756119097
2022-07-25,1048.7987872684027
2022-07-26,1060.4598935412964
2022-07-27,1086.8324862668776
2022-07-28,1095.7013864458534
2022-07-29,1095.1844692115608
2022-07-30,1093.4383718057559
2022-07-31,1087.092880870745
2022-08-01,1074.1308649062385
2022-08-02,1068.3237574842203
2022-08-03,1046.0240853409998
2022-08-04,1032.1886780883588
2022-08-05,1013.4579802886819
2022-08-06,997.4370187983241
2022-08-07,981.6169981483517
2022-08-08,949.991258042238
2022-08-09,926.0478580539718
2022-08-10,903.2414448750917
2022-08-11,875.8821664472548
2022-08-12,854.226162323782
2022-08-13,831.2475780824112
2022-08-14,812.6452579038828
2022-08-15,774.4200416254322
2022-08-16,743.0685371380155
2022-08-17,714.9421175276053
2022-08-18,685.210841300547
2022-08-19,659.5813060598321
2022-08-20,631.7948819650562
2022-08-21,609.0434050750356
2022-08-22,567.9551389518023
2022-08-23,536.6415865718002
2022-08-24,506.01652038109626
2022-08-25,484.0966452737193
2022-08-26,459.48537894675434
2022-08-27,445.0679184098745
2022-08-28,425.88547329052113
2022-08-29,411.8296147064394
2022-08-30,398.63204584628227
2022-08-31,383.4411166903021
2022-09-01,371.61442635317024
2022-09-02,358.87642654474854
2022-09-03,348.8782571467155
2022-09-04,339.8594141101684
2022-09-05,330.2263792084543
2022-09-06,323.3632361635644
2022-09-07,318.9915532705669
2022-09-08,311.75387246375897
2022-09-09,305.171929374493
2022-09-10,297.3967373752146
2022-09-11,290.8137476564216
2022-09-12,280.65539186711163
2022-09-13,270.6335217337398
2022-09-14,265.1330271479338
2022-09-15,257.47076766047223
2022-09-16,251.64495969129445
2022-09-17,248.49650368826676
2022-09-18,246.8722461456497
2022-09-19,236.32548910224781
2022-09-20,232.52784274795644
2022-09-21,231.2470094974133
2022-09-22,234.72741273854214
2022-09-23,232.83007479531872
2022-09-24,232.19373605531078
2022-09-25,233.1675604258785
2022-09-26,224.45386153967596
2022-09-27,220.68713944824253
2022-09-28,220.0425700801822
2022-09-29,220.96019519274637
2022-09-30,220.00601566763427
2022-10-01,219.53861976379827
